International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2&p=000000000000000000000080000000g&u=0&f=A&v=mapbubble&a=-&i=none&vo=value&t=G&g=000000000000008&l=71-0028g000017kg6940080a44000e02000g00004g8001o&l=275-00000008010000008000000000008g000g000000g0g000g0004&l=164-10002000000000020g00000000000000000000000000000000000008&l=170--110&s=315532800000&e=1577836800000&,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report generated on: 12-09-2021 14:27:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"In order to make the different generation data consistent throughout trend and time development, we have scaled the generation data by 2020 capacities.",Electricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Baltic countries we have fixed capacities and generation data from 1991 for all the preceding years.,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany before 1990 is just the sum of generation (and sum of capacities) of West and East Germany.,Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic and Slovakia before 1993 are distributed according to share of capacities in 1993.,Hydroelectricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Yugoslavia/Serbia and Montenegro is distributed according to shares of capacities in 1992/2006/2008.,Albania,Billion Kwh,13.95282,13.7390857142857,13.4404909090909,12.6152166666667,12.393584,12.189,11.9145925925926,13.9850147058824,12.8609710144928,13.321652173913,4.04064748201439,4.99062949640288,4.56650479616307,4.70119304556355,5.34884292565947,6.8838615916955,9.37640830449827,8.23350865051903,8.05818685121107,8.65196539792388,7.52229757785467,5.82035294117647,5.75088581314879,8.46341176470588,8.94968166089965,8.8773812849162,8.26319134078213,4.60642458100559,6.19586896551724,8.57268275862069,12.2548108829569,6.48323952254642,6.86721283783784,9.24519365524986,6.47968486956522,7.75759705228031,9.62519090433874,5.23038715192965,9.61277301662708,5.61692503419973,5.281
,Austria,Billion Kwh,31.2621863270777,29.4967792945288,28.2930486855941,27.7836127113337,25.4618680486346,26.8038824107757,26.3354596565288,21.3856889907399,29.3991963389705,28.7164893166329,39.9320118099032,39.2816821433581,43.0846034147696,45.4124321021938,43.9166803312629,45.1045604260549,41.2863742721733,42.6699925729443,43.0923607026675,47.2901671665145,48.5674072433559,46.798656367649,47.3721190696445,38.9088843170764,43.0293437541048,42.6276653188992,41.5610983862572,42.1446439770555,43.5472692405708,46.5597913632299,41.4799021862758,36.8228905247263,47.2772725219573,43.6753068181818,42.1881986540079,37.5227923613575,40.2241792064053,38.5838774982365,37.4351914794552,42.1748999478563,45.344
,Belgium,Billion Kwh,0.45041095890411,0.5655,0.453488372093023,0.461860465116279,0.485581395348837,0.388965517241379,0.457078651685393,0.566666666666667,0.456774193548387,0.378947368421053,0.335744680851064,0.288510638297872,0.431489361702128,0.318315789473684,0.432,0.41875,0.29625,0.3774375,0.476424742268041,0.39378640776699,0.530097087378641,0.472432432432432,0.384864864864865,0.267272727272727,0.327652173913043,0.325714285714286,0.398130841121495,0.42,0.438918918918919,0.354545454545455,0.303050847457627,0.194621848739496,0.353,0.379159663865546,0.286611570247934,0.336428571428571,0.38295652173913,0.300560747663551,0.345555555555556,0.12,1.29
,Bosnia and Herzegovina,Billion Kwh,9.40769741935484,8.38673472,8.28345820591233,7.68891250424737,8.40510256811776,7.57003548099763,8.11502709568162,7.36205523964257,7.03028406557377,6.33291803278688,5.55441280801516,5.36398551313295,5.88481833333333,4.0865825,6.29186303775241,6.19315094339623,8.76347169811321,7.91184905660377,5.81374568965517,5.78081744831064,5.32274281391831,5.38635072754641,4.58613235294118,3.91865882352941,5.20523823529412,5.22194705882353,5.03327001244297,3.43856200746578,4.76337931034483,6.10697260273973,7.85591780821918,4.29376428908833,4.11985330188679,7.07276037735849,6.00218057589068,5.59661070559611,5.60911948176583,3.76830388675624,6.36294031578947,6.02883142105263,6.1
,Bulgaria,Billion Kwh,3.34440633245383,3.25883905013193,2.74725593667546,2.898,2.81764556962025,1.93374683544304,2.01060759493671,2.1940253164557,2.24381012658228,2.32739483020781,1.62532944754181,2.97596359743041,2.51423982869379,2.36771948608137,1.78902569593148,2.8208244111349,3.55835117773019,2.60806988352745,2.93336106489185,2.60711314475874,2.42655502392344,1.73915592028136,1.92335728952772,2.60749747983871,2.72661290322581,3.73344254032258,3.64823588709677,2.43917743538767,2.27504716981132,2.77275386055218,3.93470604395604,2.41015135135135,2.5905630071599,3.18359307159353,3.58861438356164,4.37775441976428,3.00365820489574,2.18530180995475,3.72606581178465,2.44180822062553,3.37
,Croatia,Billion Kwh,8.30646193548387,7.40500992,7.31382262996942,6.78887257900102,7.42122768556217,6.6839109263658,7.16510753598645,6.50027619821284,6.2073411147541,5.59160655737705,4.90423070674249,4.73609423233144,4.48994007914076,4.49157966101695,5.09609491525424,5.4080718697361,7.40856470588235,5.41872941176471,5.59369411764706,6.75425882352941,5.99849411764706,6.71077647058824,5.52942422535211,5.00297027481772,7.11118659217877,6.42292682926829,6.08487804878049,4.34933333333333,5.35525925925926,6.84448249027237,9.035,4.983,4.789,8.31551291512915,8.67295578947368,6.10563759791123,6.55692050209205,5.07910041841004,7.36494172503921,5.67313781495034,3.4
,Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Czech Republic,Billion Kwh,2.04251357641583,1.62690677966102,1.42919014084507,1.50644366197183,1.22100869565217,1.62827062478426,1.51833910034602,1.78949277310924,1.59887382864793,1.52505358316897,1.41605500658762,1.11778601764129,1.29088337144724,1.63165203073546,1.74963024282561,2.39455286343612,2.46319470046083,2.03885632044199,1.70726801801802,1.81092063492063,2.00548193277311,2.230201,2.706299,1.49580976095618,2.16049556650246,2.53385490196078,2.72630413385827,2.21542578125,2.13643148688047,2.54415139826422,2.90197807435653,2.03728571428571,2.17030892018779,2.74656296296296,1.93904907407407,1.79371599264706,1.99573486238532,1.85877767612077,1.61942870201097,1.98973379562044,3.4
,Denmark,Billion Kwh,0.03375,0.034875,0.0252,0.036,0.028,0.027,0.029,0.029,0.032,0.022090909090909,0.0243,0.0234,0.0252,0.0243,0.037125,0.027,0.0171,0.0171,0.02187,0.025363636363636,0.027,0.022909090909091,0.026181818181818,0.017181818181818,0.022090909090909,0.018818181818182,0.023,0.028,0.026,0.019,0.021,0.017,0.017,0.013,0.015,0.023142857142857,0.019,0.018,0.015,0.01584,0.02
,Estonia,Billion Kwh,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.024,0.016,0.016,0.024,0.032,0.026666666666667,0.033333333333333,0.018666666666667,0.016,0.026,0.044,0.0352,0.0224,0.0336,0.0448,0.036571428571429,0.036,0.048,0.042,0.026,0.0432,0.036,0.046666666666667,0.029714285714286,0.017142857142857,0.021497142857143,0.04
,Faroe Islands,Billion Kwh,0.106166666666667,0.106166666666667,0.106166666666667,0.106166666666667,0.106166666666667,0.106166666666667,0.106166666666667,0.061645161290323,0.078,0.089322580645161,0.093096774193548,0.093096774193548,0.10441935483871,0.091838709677419,0.094354838709677,0.094354838709677,0.087516,0.094437870967742,0.096243193548387,0.086263280254777,0.0917255625,0.09164390625,0.11643328125,0.1033865625,0.116059777070064,0.123272709677419,0.125723419354839,0.130092677419355,0.119416741935484,0.115090258064516,0.083988387096774,0.115741935483871,0.099,0.091,0.117975,0.1287,0.102375,0.10725,0.104325,0.09945,0.11
,Finland,Billion Kwh,13.6385309917355,17.8797057154439,17.090523039612,17.5273811426288,17.1382639167,15.9059852295409,15.6649542074364,17.2335862335654,16.6215737389295,16.2771461716937,13.3831552842427,16.0993561178248,18.2162851810377,15.9398326620286,13.9166472953216,15.035415196255,13.757323518851,13.8225059559595,16.875633460604,14.3295647344672,16.4316165857044,14.5786736158578,11.7441578947368,10.4457805124747,16.2323097699233,14.6711360790774,12.1259559111692,14.763444551902,17.7061124279308,13.0302120826709,13.179210459588,12.5353923654568,17.0164020650814,12.8252903225806,13.301145320197,16.655460757156,15.7013671899046,14.5698135696822,13.0410803163979,12.224694989352,15.56
,France,Billion Kwh,77.023966668579,78.503245490641,73.9535594892311,72.1786720108696,67.4744499222978,62.2642853840496,60.5987295562519,67.5245376919614,72.1081487062556,44.2437911299046,58.6188472088954,62.703192693288,75.6337605110598,70.9113247743455,85.770262931516,79.3478330539725,70.4112516666667,68.9445732600733,67.0968380492676,78.7322266674096,74.0934311458687,82.2366667421071,66.3911466666667,64.2645984827355,65.4625081967213,56.2967494946092,61.5309321548822,62.9103554845222,69.1668009708738,61.635581542562,67.1139069729015,48.3761206117673,63.2225597672395,76.0360836824637,67.3736028164419,58.6188322563128,63.9461794871795,52.3426010990787,67.2686235880575,59.369766092161,64.84
