scenario,SEQ,SEQCOST,CCCOST,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,co2seq,dac,elec_cap,elec_cf,total_onwind,total_offwind,total_solar
aaa,a,a,a,min,0.02,2025,-0.0,1.856239106989289e-11,985011770542.5991,,59.881565457722594,0.0,0.34263326750993484,0.0,,382698.12133630755,45828.42705955688,463741.8813630008
aaa,a,a,a,max,0.02,2025,3.8484308901859197,3.729650019276977e-07,999786942080.2622,-14.410910422179397,0.8512632712844245,-16.614148694529653,0.3190101958616183,24935.215467822803,0.999695717984869,415503.5177902687,49932.55756556611,487563.6204638727
aaa,a,a,a,min,0.05,2025,-0.0,2.8798861524730263e-11,985011770115.8772,,59.87981114084932,0.0,0.3079901422963295,0.0,,382697.9977566238,45828.427069004436,463742.1443224788
aaa,a,a,a,max,0.05,2025,9.206265787328144,1.2742029553560383e-06,1021949706806.3539,-12.918233371904142,0.6398924120588316,-102.2407894594337,1.9155133173494732,59642.12176717095,0.9998335120185483,441807.3439815234,67452.87323022052,510458.01540964737
aaa,a,a,a,min,0.1,2025,-0.0,1.0388581595993122e-11,985011767812.4484,,59.87052729954284,0.0,0.1697456203028495,0.0,,382698.0895309467,45828.426320337545,463741.94077908236
aaa,a,a,a,max,0.1,2025,17.127385164398568,1.3068399507141182e-09,1058887648017.1245,-11.940442847094625,0.485539965554532,-0.15040956148881346,0.0011765853966557629,110972.67211746887,0.9997059710857037,475031.63456261944,96158.15231859527,526866.7933784476
aaa,a,a,a,min,0.02,2030,-0.0,1.1228209346836509e-11,944818346214.6797,,84.82507281849752,25000000.000028074,0.14099447900072332,0.0,,539542.0092830826,131129.55739780577,949207.5117157232
aaa,a,a,a,max,0.02,2030,5.265889681168257,4.2725662923637114e-07,960427313920.5547,-18.52770324260228,1.3667393322336083,24999999.99482215,0.03789448456169953,36912.633544360506,0.9058357825948726,563492.4953041568,139503.36313550622,1011172.8841285479
aaa,a,a,a,min,0.05,2030,-0.0,3.390719206994303e-11,944818349731.5713,,84.82511985837061,25000000.00007418,0.3785660012628951,0.0,,539542.2199398814,131129.5624041682,949207.2616847949
aaa,a,a,a,max,0.05,2030,10.868556280032218,5.473556710416529e-06,983715447270.694,-15.264352511281103,0.8251623488037788,24999999.867683753,0.7381956948479456,72804.80555548225,0.9564371148272773,576577.8597098897,161528.32936589865,1083278.398946977
aaa,a,a,a,min,0.1,2030,-0.0,4.0110373570984624e-11,944818349573.1995,,84.82510630892776,25000000.000070058,0.4045660335869485,0.0,,539541.9118850016,131129.6228864303,949207.6684959044
aaa,a,a,a,max,0.1,2030,19.20760865389515,3.814793614477155e-08,1022423887955.145,-14.782604006170516,0.7565695986403866,24999999.99898128,0.0038153037773255485,125318.51302806234,0.9861009318066177,600102.3996586725,195473.29739355412,1150239.5433529008
aaa,a,a,a,min,0.02,2035,0.06306116778619095,2.1018276356244114,923582171537.8499,-6.524697801597298,1.2816414234584221,75000000.10527042,1.8657457890497802,595.6327753047269,0.6319788874148347,740552.1527134096,268847.44125394116,1417525.1895302162
aaa,a,a,a,max,0.02,2035,15.594546659979347,79.91689975467386,924408387942.7686,-28.833649109771002,2.763161046170941,74999999.99999607,0.01270896850213397,118052.69534433201,0.8025909070902656,708468.7233541262,282962.3985630832,1718555.51865426
aaa,a,a,a,min,0.05,2035,-0.0,7.01977833276201e-11,924077284456.8516,,198.50513602490042,75000000.00012079,0.40611457315623145,0.0,,742478.3485472943,269373.9684955654,1418742.5286590965
aaa,a,a,a,max,0.05,2035,23.800713453423203,32.72820762420267,948685143825.56,-19.86647517640835,1.5107455520197461,74999999.99899668,0.04938677707219926,177481.21210535,0.8216494777715202,690809.9459515784,323076.44856237667,1902160.7066460785
aaa,a,a,a,min,0.1,2035,-0.0,4.942488539350338e-11,924077282825.6993,,198.5053824540973,75000000.0001252,0.3600733411967806,0.0,,742477.9496889377,269373.69561877166,1418745.3867765446
aaa,a,a,a,max,0.1,2035,33.73105050554338,2.2514075984401295e-07,988963571319.5183,-16.945658635895832,1.1028293569673018,75000000.00001252,0.023443961654115858,247740.592497903,0.8410162466382469,685617.9370373022,360759.6648826894,2092213.9318170617
aaa,a,a,a,min,0.02,2040,25.29598963488345,843.1153345243983,1078795584340.6013,-5.117526394158139,1.3200357915109517,124999999.99995255,0.04834514297087808,215627.49086297594,0.683368370108201,987174.4153646044,379855.7028409363,2254802.895780401
aaa,a,a,a,max,0.02,2040,42.130717662606514,782.6618952648851,1080370496471.3094,-33.71660962920536,3.337027046277897,124999999.995197,0.07379747993916755,332033.9361273049,0.7481038707674004,833915.2750514792,459116.31808005046,2588002.1819779403
aaa,a,a,a,min,0.05,2040,23.08778138590083,769.515753607156,1107423631334.0264,-2.8152014878841434,1.0445565378730495,124999999.99998432,0.012691558660693167,191185.49258285912,0.7034160906894292,1052552.0263248854,392578.9955625196,2285089.890156625
aaa,a,a,a,max,0.05,2040,54.72272560663293,328.99006691571986,1111084920047.4922,-24.57490761973892,2.100378633832205,125000000.00033148,11790260.37234598,433052.77410256607,0.7489191349445208,908826.2171424093,525259.9504939578,2902840.6963873086
aaa,a,a,a,min,0.1,2040,21.548174148344422,718.2006443642982,1155086336801.0974,-0.8462797875470016,0.7858980051658279,125000000.0,3.350435507564715e-06,168106.0343964957,0.7466416367993,1057190.3000952622,456401.2886757818,2509680.4460691195
