scenario,year,B,C,I,E,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage
1987aaaa,1987,a,a,a,a,min,0.02,2025,-0.0,1.3398332091604498e-11,991688202168.4036,,61.309103986954696,-0.0,0.0,0.31735111520426135,7.154780946253271,0.0,,387079.3376511707,61927.491722371145,402085.14984411845,99790.10013979598,0.16929522525589874
1987aaaa,1987,a,a,a,a,max,0.02,2025,3.82669292510876,2.5224960492703813e-06,1006486376106.1067,-14.33667501276615,0.8731236499971059,108671358.23766938,-6.684025834902428,0.2904614056858632,7.154781135562579,24795.37277164233,0.9996552172284244,400121.90832852165,81343.69056740712,409967.7897220553,99790.10011472265,0.11448675553200782
1987aaaa,1987,a,a,a,a,min,0.05,2025,-0.0,1.5105780423742774e-10,991720860230.9983,,61.313078311139684,-0.0,0.0,3.449232939065298,7.15479094949243,0.0,,387078.15715530346,61926.326632382465,402087.7187912379,99790.10113373156,1.7855320731061348
1987aaaa,1987,a,a,a,a,max,0.05,2025,9.1926192343024,1.9880526279077663e-06,1028797650454.0106,-12.822515915484479,0.6543793249580396,186335279.92718464,13.1718187339565,0.28063111223789394,7.15478172516435,59556.64134653834,0.9997843606425477,417761.0061523393,107803.56108265712,420985.9347396342,99790.10012991544,0.14037063199984948
1987aaaa,1987,a,a,a,a,min,0.1,2025,-0.0,1.6127464489033644e-11,991696287894.7976,,61.31077119338885,-0.0,0.0,0.31265084568331514,7.154780930797289,0.0,,387079.32960010786,61927.51201247581,402085.1055939254,99790.10013630881,0.1656749563227949
1987aaaa,1987,a,a,a,a,max,0.1,2025,17.116474307902863,3.226739864717553e-07,1065983107698.8362,-11.870366986212534,0.5091402471062925,269400052.4562957,-6.529214355445585,0.056108916930517144,49.479234674343886,110903.5598051246,0.9996917115898928,455859.2759413974,133680.4407786905,438278.65703415003,99790.10002291037,0.02927144545828355
1987aaaa,1987,a,a,a,a,min,0.02,2030,-0.0,9.023583872054883e-12,966735696553.8848,,93.38339792410683,-0.0,25000000.000012413,0.2508614326227202,32.154780503969995,0.0,,599940.6168580778,221745.04762405367,720441.1842274445,76584.00012325881,4828.68779714991
1987aaaa,1987,a,a,a,a,max,0.02,2030,5.457092804199028,1.7569956910397765e-06,982592469164.3043,-18.059674422139352,1.4403873543444858,241145514.02533066,24999999.999375917,0.16194852651238023,32.15478067170589,40789.71454120594,0.8453232638392597,600675.1631136871,249380.77182656762,741617.6470307871,76584.00007611194,102701.95124079834
1987aaaa,1987,a,a,a,a,min,0.05,2030,-0.0,4.9347433511171524e-11,966735738426.1404,,93.38409646952036,-0.0,25000000.000028655,1.2763538436143724,32.154782853494225,0.0,,599938.7997147156,221744.7314167373,720440.401535471,76584.00035466721,4827.342600676682
1987aaaa,1987,a,a,a,a,max,0.05,2030,11.414067522533148,1.1155126406077498e-06,1006352759132.2688,-14.724172957071014,0.8767489547870568,321168864.3943584,24999999.979255248,0.10714062641752542,59.2874986325027,81128.17200113405,0.8959924305938375,604276.7420195257,291122.47131309187,762388.790415456,76584.0000576713,212620.13689191538
